Query,Document,Score
манипулировать,064.txt,0.013679125579874338
манипулировать,031.txt,0.007035517777516202
манипулировать,055.txt,0.00032137269572921604
манипулировать середина,022.txt,0.0208163452627194
манипулировать середина,064.txt,0.009914993350889946
манипулировать середина,031.txt,0.009707751246538412
манипулировать середина,029.txt,0.008202671609608268
манипулировать середина,055.txt,0.0012780953612589827
манипулировать середина декодирование,022.txt,0.017142078072089645
манипулировать середина декодирование,031.txt,0.015583907772839568
манипулировать середина декодирование,064.txt,0.015540987667207769
манипулировать середина декодирование,029.txt,0.006754828254287377
манипулировать середина декодирование,060.txt,0.004060901426496574
манипулировать середина декодирование,055.txt,0.0013983797748161227
